disbDate,count
2016-03-02,3051
2016-03-03,3764
2016-03-04,4237
2016-03-05,3397
2016-03-07,5
2016-03-08,1279
2016-03-09,1684
2016-03-10,1862
2016-03-11,1883
2016-03-12,2949
2016-03-14,1111
2016-03-15,1412
2016-03-16,1648
2016-03-17,3080
2016-03-18,3343
2016-03-19,7191
2016-03-21,5853
2016-03-22,8844
2016-03-23,7464
2016-03-24,6391
2016-03-25,1
2016-03-28,5960
2016-03-29,10663
2016-03-30,8388
2016-03-31,5061
2016-04-01,42
2016-04-02,4616
2016-04-04,26
2016-04-05,3601
2016-04-06,6061
2016-04-07,7371
2016-04-08,2277
2016-04-09,146
2016-04-11,4325
2016-04-12,7587
2016-04-13,7087
2016-04-14,3
2016-04-15,6346
2016-04-16,5460
2016-04-18,14
2016-04-19,12
2016-04-20,3639
2016-04-21,4755
2016-04-22,5036
2016-04-23,3032
2016-04-25,1364
2016-04-26,5299
2016-04-27,5080
2016-04-28,5227
2016-04-29,5377
2016-04-30,4367
2016-05-02,99
2016-05-03,3982
2016-05-04,454
2016-05-05,402
2016-05-06,513
2016-05-07,438
2016-05-09,41
2016-05-10,486
2016-05-11,488
2016-05-12,469
2016-05-13,455
2016-05-14,417
2016-05-16,92
2016-05-17,514
2016-05-18,4061
2016-05-19,485
2016-05-20,5412
2016-05-21,4691
2016-05-23,267
2016-05-24,8663
2016-05-25,6419
2016-05-26,6233
2016-05-27,6022
2016-05-28,4870
2016-05-30,131
2016-05-31,2927
2016-06-01,5190
2016-06-02,9257
2016-06-03,9499
2016-06-04,7487
2016-06-06,13
2016-06-07,5038
2016-06-08,4236
2016-06-09,4577
2016-06-10,4166
2016-06-11,5303
2016-06-13,25
2016-06-14,5863
2016-06-15,4815
2016-06-16,4636
2016-06-17,4566
2016-06-18,4060
2016-06-19,2
2016-06-20,41
2016-06-21,3716
2016-06-22,3986
2016-06-23,4278
2016-06-24,3852
2016-06-25,4519
2016-06-26,1
2016-06-27,37
2016-06-28,4776
2016-06-29,4211
2016-06-30,3801
2016-07-01,4169
2016-07-02,3261
2016-07-04,16
2016-07-05,4661
2016-07-06,3001
2016-07-07,496
2016-07-08,3723
2016-07-09,4408
2016-07-10,6
2016-07-11,38
2016-07-12,3875
2016-07-13,3874
2016-07-14,3957
2016-07-15,3875
2016-07-16,3531
2016-07-18,15
2016-07-19,3910
2016-07-20,4561
2016-07-21,5772
2016-07-22,6511
2016-07-23,5444
2016-07-24,1
2016-07-25,10
2016-07-26,6933
2016-07-27,6152
2016-07-28,3646
2016-07-29,3467
2016-07-30,3268
2016-08-01,119
2016-08-02,4266
2016-08-03,4013
2016-08-04,3792
2016-08-05,3694
2016-08-06,3595
2016-08-08,7
2016-08-09,4617
2016-08-10,7962
2016-08-11,4483
2016-08-12,4347
2016-08-13,3745
2016-08-14,1
2016-08-16,1845
2016-08-17,4652
2016-08-18,4085
2016-08-19,4005
2016-08-20,3305
2016-08-22,2
2016-08-23,4247
2016-08-24,7104
2016-08-25,693
2016-08-26,3577
2016-08-27,4939
2016-08-29,94
2016-08-30,8644
2016-08-31,7736
2016-09-01,6404
2016-09-02,6146
2016-09-03,5750
2016-09-05,14
2016-09-06,1380
2016-09-07,6081
2016-09-08,5287
2016-09-09,585
2016-09-10,804
